KFS_PROPOSAL_NUMBER,ORACLE_AWARD_NUMBER
1189,K320902
112174,K320A00
112787,K320A02
112790,K320A03
112791,K320A04
112812,K320A05
112813,K320A06
112814,K320A07
112815,K320A08
112816,K320A09
112817,K320A10
112818,K320A11
112819,K320A13
112820,K320A14
112821,K320A15
112822,K320A16
112823,K320A17
112824,K320A18
112825,K320A19
113141,K320A20
112759,K320A23
112959,K320A29
112972,K320A30
112981,K320A32
113110,K320A59
112930,K320A71
113017,K320A73
112951,K320A93
113088,K320A96
113089,K320A97
113090,K320A98
113091,K320A99
117316,K320B06
117052,K320B20
117244,K320B22
117279,K320B23
117356,K320B27
117334,K320B28
117374,K320B31
117380,K320B33
117383,K320B35
117388,K320B36
117414,K320B37
117450,K320B38
117472,K320B39
117483,K320B40
117484,K320B42
117493,K320B43
117479,K320B44
117061,K320B50
117413,K320B52
117446,K320B54
117451,K320B55
131318,K320B57
131319,K320B58
126210,K320B59
117079,K320B60
117089,K320B61
117106,K320B62
117094,K320B63
117108,K320B64
117120,K320B65
117095,K320B67
117137,K320B68
117176,K320B69
117140,K320B71
117166,K320B72
117198,K320B74
117174,K320B75
117203,K320B76
117230,K320B77
117228,K320B78
117119,K320B79
117154,K320B80
117188,K320B83
117184,K320B84
117197,K320B85
117202,K320B86
117222,K320B88
117258,K320B92
117312,K320B93
117327,K320B94
117337,K320B95
117352,K320B96
117375,K320B98
117389,K320B99
121940,K320C02
121929,K320C03
121920,K320C04
121919,K320C05
121923,K320C06
121922,K320C07
121924,K320C08
121933,K320C09
121934,K320C10
121937,K320C11
121932,K320C12
121930,K320C13
121931,K320C14
121936,K320C15
121935,K320C16
121938,K320C17
121980,K320C18
121979,K320C19
121964,K320C20
121963,K320C21
121970,K320C23
121942,K320C24
121943,K320C25
121944,K320C26
121945,K320C27
121947,K320C29
121981,K320C31
121949,K320C32
121952,K320C33
121955,K320C34
121950,K320C35
121953,K320C36
121954,K320C37
121956,K320C38
121957,K320C39
121958,K320C40
121959,K320C41
121960,K320C42
121975,K320C44
121972,K320C45
121973,K320C46
121977,K320C47
121978,K320C48
121976,K320C49
121974,K320C50
121999,K320C51
122023,K320C52
121990,K320C53
121989,K320C54
121988,K320C55
121992,K320C56
121991,K320C57
121994,K320C58
121983,K320C59
121987,K320C60
121996,K320C61
121984,K320C62
121986,K320C63
121993,K320C64
122012,K320C65
122003,K320C66
122026,K320C67
122008,K320C68
122002,K320C69
122010,K320C70
122027,K320C71
122004,K320C72
122005,K320C73
122006,K320C74
122009,K320C76
122021,K320C78
122017,K320C81
122014,K320C82
122016,K320C83
122018,K320C84
122042,K320C85
122019,K320C86
122020,K320C87
122024,K320C88
122025,K320C89
122034,K320C90
122030,K320C91
122035,K320C92
122038,K320C93
122029,K320C94
122033,K320C95
122039,K320C96
122031,K320C97
122037,K320C98
122052,K320C99
126602,K320D04
126606,K320D05
126601,K320D06
126599,K320D07
126597,K320D08
126612,K320D09
126603,K320D10
126605,K320D11
126600,K320D12
126598,K320D13
126609,K320D14
126608,K320D15
126610,K320D16
126613,K320D17
126611,K320D18
126617,K320D24
126622,K320D26
126619,K320D27
126621,K320D28
126620,K320D29
126618,K320D30
127493,K320D32
126630,K320D33
126628,K320D35
126627,K320D36
126626,K320D37
126624,K320D38
126632,K320D44
126671,K320D45
126686,K320D46
126652,K320D47
126656,K320D48
126702,K320D49
126678,K320D50
126667,K320D51
126649,K320D52
126648,K320D53
126647,K320D54
126645,K320D55
126644,K320D57
126662,K320D61
126660,K320D62
126663,K320D64
126591,K320D67
126696,K320D70
126682,K320D72
126679,K320D73
126683,K320D74
126685,K320D75
126681,K320D78
126700,K320D79
126684,K320D82
126691,K320D85
126687,K320D86
126688,K320D87
126693,K320D88
126689,K320D89
126692,K320D90
126694,K320D91
126690,K320D92
126728,K320D93
126706,K320D95
126708,K320D96
126704,K320D97
126707,K320D98
126703,K320D99
131336,K320E00
131337,K320E01
131338,K320E02
131339,K320E03
131340,K320E04
131341,K320E05
131342,K320E06
131321,K320E07
131343,K320E08
131344,K320E09
131335,K320E10
131360,K320E11
131347,K320E12
131349,K320E13
131351,K320E15
131352,K320E16
131361,K320E17
131363,K320E18
131357,K320E19
131359,K320E21
131377,K320E23
131370,K320E24
131375,K320E25
131371,K320E27
131373,K320E28
131374,K320E30
133300,K320E31
131378,K320E34
131382,K320E35
131383,K320E36
131387,K320E37
131388,K320E38
131379,K320E39
131381,K320E40
131385,K320E41
131384,K320E42
131380,K320E43
131394,K320E44
131395,K320E46
131396,K320E47
131398,K320E49
131393,K320E50
131408,K320E59
131353,K320E61
131405,K320E63
131434,K320F00
131412,K320F01
131413,K320F02
131414,K320F03
131415,K320F04
131417,K320F05
131418,K320F06
131419,K320F07
131421,K320F08
131427,K320F09
131402,K320F10
131424,K320F11
131425,K320F12
131471,K320F13
131426,K320F14
131423,K320F15
131428,K320F18
131429,K320F19
131430,K320F20
131431,K320F21
131432,K320F22
131439,K320F33
131440,K320F34
131442,K320F35
131441,K320F36
131447,K320F37
131444,K320F38
131445,K320F39
131448,K320F40
131452,K320F43
131454,K320F44
131450,K320F45
131451,K320F46
131453,K320F47
131350,K320F48
131358,K320F49
131362,K320F50
131372,K320F51
131376,K320F52
131397,K320F54
131403,K320F55
131404,K320F56
131472,K320F57
131468,K320F60
131436,K320F61
131469,K320F62
131539,K320F63
131479,K320F65
131473,K320F66
131474,K320F67
131475,K320F68
131477,K320F69
131695,K320F70
131483,K320F71
131484,K320F72
131481,K320F73
131482,K320F74
131486,K320F75
131487,K320F76
131489,K320F77
131491,K320F79
131492,K320F80
131493,K320F81
131488,K320F82
131494,K320F83
131495,K320F88
131496,K320F89
131497,K320F90
131498,K320F91
131500,K320F95
131501,K320F96
131502,K320F97
131505,K320F98
131504,K320F99
104892,K321754
105028,K321783
105129,K321790
106176,K321879
106287,K321882
106583,K321891
106602,K321892
105567,K321922
105854,K321951
105888,K321954
113016,K321A06
113372,K321A09
113417,K321A11
113436,K321A12
113470,K321A14
113523,K321A17
113540,K321A18
113615,K321A19
113614,K321A20
113646,K321A21
113659,K321A23
113775,K321A25
113870,K321A28
112949,K321A31
112998,K321A35
113028,K321A37
113024,K321A38
113023,K321A39
112857,K321A41
112858,K321A42
112836,K321A43
112749,K321A45
113014,K321A49
112936,K321A69
112860,K321A70
112958,K321A71
112985,K321A73
113026,K321A92
113082,K321A98
113135,K321A99
117297,K321B03
117329,K321B04
117343,K321B05
117400,K321B06
117421,K321B07
117425,K321B10
117438,K321B11
117437,K321B12
117463,K321B14
117471,K321B15
117469,K321B16
117404,K321B17
117511,K321B18
117505,K321B19
117291,K321B20
117292,K321B21
117363,K321B23
117372,K321B26
117344,K321B28
117408,K321B31
117426,K321B32
117443,K321B34
117289,K321B40
117288,K321B41
117283,K321B42
117298,K321B44
117339,K321B46
117342,K321B47
117348,K321B48
117376,K321B50
117418,K321B51
117392,K321B52
117405,K321B53
117412,K321B54
117492,K321B55
117497,K321B56
117501,K321B58
117509,K321B59
117435,K321B70
117351,K321B80
117422,K321B81
117508,K321B90
122040,K321C00
122036,K321C01
122044,K321C03
122279,K321C04
122125,K321C05
122045,K321C06
122046,K321C07
122047,K321C08
122048,K321C09
122060,K321C10
122061,K321C11
122062,K321C12
122063,K321C13
122079,K321C14
122055,K321C15
122053,K321C16
122054,K321C17
122059,K321C18
122058,K321C19
122056,K321C20
122057,K321C21
122077,K321C22
122073,K321C24
122074,K321C25
