code6	title	class	system/local	cto	cto_name	ucd_academic	ucd_senate_federation	Durst/Federation	Academic Count	Staff Count
000001	PRESIDENT OF THE UNIV	PRESIDENT OF THE UNIV	Senior Management Group	Local	M05	T	UNK			
000002	ASC VC AND ASC DEAN SR SOM	ASC VC AND ASC DEAN SR SOM	Senior Management Group	Local	M05	T	UNK			
000003	ASC VC AND CEACO	ASC VC AND CEACO	Senior Management Group	Local	M05	T	UNK			
000004	ASC VC DVRSTY AND CEAO	ASC VC DVRSTY AND CEAO	Senior Management Group	Local	M05	T	UNK			
000005	ASC VP ACAD PRG AND STRAT	ASC VP ACAD PRG AND STRAT	Senior Management Group	Local	M05	T	UNK			
000006	ASC VP BUDGET AND FAC MGT	ASC VP BUDGET AND FAC MGT	Senior Management Group	Local	M05	T	UNK			
000007	ASC VP BUS OPS	ASC VP BUS OPS	Senior Management Group	Local	M05	T	UNK			
000008	ASC VP BUS OPS ANR	ASC VP BUS OPS ANR	Senior Management Group	Local	M05	T	UNK			
000010	PROVOST EXEC VP ACAD AFFAIRS	PROVOST EXEC VP ACAD AFFAIRS	Senior Management Group	Local	M10	T	UNK			
000011	ASC VP CAPITAL RESC MGT	ASC VP CAPITAL RESC MGT	Senior Management Group	Local	M05	T	UNK			
000012	SVP DESIGNATE	SVP DESIGNATE	Senior Management Group	Systemwide	M05	T	UNK			
000013	ASC VP CPO	ASC VP CPO	Senior Management Group	Local	M05	T	UNK			
000014	SVP BUS AND FIN	SVP BUS AND FIN	Senior Management Group	Systemwide	M05	T	UNK			
000015	VP FUNC AREA	VP FUNC AREA	Senior Management Group	Systemwide	M05	T	UNK			
000016	VP ANR	VP ANR	Senior Management Group	Local	M05	T	UNK			
000017	VP HEALTH AFFAIRS	VP HEALTH AFFAIRS	Senior Management Group	Systemwide	M05	T	UNK			
000018	SVP UNIV AFFAIRS	SVP UNIV AFFAIRS	Senior Management Group	Local	M05	T	UNK			
000019	VP CLIN SVC DEV	VP CLIN SVC DEV	Senior Management Group	Systemwide	M05	T	UNK			
000020	VC UNDERGRAD	VC UNDERGRAD	Senior Management Group	Systemwide	M05	T	UNK			
000021	ASC VP SYSWIDE CONTROLLER	ASC VP SYSWIDE CONTROLLER	Senior Management Group	Local	M05	T	UNK			
000022	ASC VP CSO	ASC VP CSO	Senior Management Group	Local	M05	T	UNK			
000023	ASC VP FEDERAL GOVT REL	ASC VP FEDERAL GOVT REL	Senior Management Group	Local	M05	T	UNK			
000024	ASC VP HS	ASC VP HS	Senior Management Group	Local	M05	T	UNK			
000025	VP IT AND CIO	VP IT AND CIO	Senior Management Group	Local	M05	T	UNK			
000026	ASC VP LAB OPS ADMSTN	ASC VP LAB OPS ADMSTN	Senior Management Group	Local	M05	T	UNK			
000027	ASC VP LAB PRG	ASC VP LAB PRG	Senior Management Group	Local	M05	T	UNK			
000028	VP IR AND ACAD PLNG	VP IR AND ACAD PLNG	Senior Management Group	Local	M05	T	UNK			
000029	ASC VP STATE GOVT REL	ASC VP STATE GOVT REL	Senior Management Group	Local	M05	T	UNK			
000030	CHAN	CHAN	Senior Management Group	Local	M05	T	No		1	
000032	VC RESTRICTED USE	VC RESTRICTED USE	Senior Management Group	Systemwide	M05	T	UNK			
000033	VC FUNC AREA	VC FUNC AREA	Senior Management Group	Systemwide	M05	T	UNK			
000034	SR VC RESTRICTED USE	SR VC RESTRICTED USE	Senior Management Group	Systemwide	M05	T	UNK			
000035	SR VC FUNC AREA	SR VC FUNC AREA	Senior Management Group	Systemwide	M05	T	UNK			
000036	AST VP FINANCIAL CNTRL ACCTBLY	AST VP FINANCIAL CNTRL ACCTBLY	Senior Management Group	Local	M05	T	UNK			
000037	AST VP INSTITUTIONAL ADV	AST VP INSTITUTIONAL ADV	Senior Management Group	Local	M05	T	UNK			
000039	EXEC VP UC HEALTH	EXEC VP UC HEALTH	Senior Management Group	Local	M05	T	UNK			
000040	UNIV PROVOST	UNIV PROVOST	Senior Management Group	Systemwide	M05	T	UNK			
000042	PROVOST FUNC AREA	PROVOST FUNC AREA	Senior Management Group	Systemwide	M10	T	UNK			
000043	DEPUTY AST VP	DEPUTY AST VP	Senior Management Group	Systemwide	M05	T	UNK			
000044	DEPUTY ASC VP	DEPUTY ASC VP	Senior Management Group	Systemwide	M05	T	UNK			
000045	AST VP FUNC AREA	AST VP FUNC AREA	Senior Management Group	Systemwide	M05	T	UNK			
