Dept Code,Official Name,Suggested Display Name,AE Filter Category,AE Filter Sub Category,subDivisionL4Name,Official UC Davis display,subDivisionL4,Experts,Works,Grants
27025,CONTINUING & PROFESSIONAL ED.,Continuing and Professional Education,"Programs, Services and Centers",University Offices and Programs,CPE SUBDIV,,S2003,115,4950,824
30000,AGR & ENV SCI DEANS OFFICE,Agricultural and Environmental Sciences Dean's Office,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,17,1148,172
30010,AG & RESOURCE ECONOMICS,Agricultural and Resource Economics,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,42,885,251
30045,ANIMAL SCIENCE,Animal Science,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,47,2236,412
30020,BIOLOGICAL & AG ENGINEERING,Biological and Agricultural Engineering,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,25,1560,303
30302,ENTOMOLOGY/NEMATOLOGY,Entomology and Nematology,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,28,2473,372
30150,ENVIRONMENTAL SCIENCE & POLICY,Environmental Science and Policy,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,29,2416,385
30160,ENVIRONMENTAL TOXICOLOGY,Environmental Toxicology,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,26,1261,201
30385,AG EVOLUTION & ECOLOGY,Evolution and Ecology,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,6,709,82
30170,FOOD SCIENCE & TECHNOLOGY,Food Science and Technology,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,29,2654,466
30345,FOUNDATION PLANT SERVICES,Foundation Plant Services,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,1,32,21
30079,HUMAN ECOLOGY,Human Ecology,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,47,1071,180
30190,LAND AIR & WATER RESOURCES,"Land, Air and Water Resources",Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,44,3361,744
30005,AG MICROBIOLOGY & MOLEC GENE,Microbiology and Molecular Genetics,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,1,42,3
30180,AG MOLECULAR & CELLULAR BIO,Molecular and Cellular Biology,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,6,507,60
30070,"AG NEUROBIOLOGY, PHYS & BEHAV","Neurobiology, Physiology and Behavior",Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,4,177,21
30200,NUTRITION,Nutrition,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,46,3811,507
30001,AG PLANT BIOLOGY,Plant Biology,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,6,534,97
30300,PLANT PATHOLOGY,Plant Pathology,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,29,2371,949
30003,PLANT SCIENCES,Plant Sciences,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,105,6772,1898
30340,VITICULTURE & ENOLOGY,Viticulture and Enology,Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,30,1235,278
30350,WILDLIFE & FISHERIES BIOLOGY,"Wildlife, Fish and Conservation Biology",Colleges,Agricultural and Environmental Sciences,AGRICULTURE SUBDIV,College of Agricultural and Environmental Sciences,S2000,27,1091,209
11017,UC DAVIS GENOME CENTER,UC Davis Genome Center,Colleges,Biological Sciences,BIOLOGICAL SCIENCES SUBDIV,College of Biological Sciences,S2002,34,1608,110
11000,COLLEGE BIO SCI DEANS OFFICE,Biological Sciences Dean's Office,Colleges,Biological Sciences,BIOLOGICAL SCIENCES SUBDIV,College of Biological Sciences,S2002,5,362,38
11085,COASTAL & MARINE SCIENCE INST,Coastal and Marine Sciences Institute,"Programs, Services and Centers",Interdisciplinary Research Units,RESEARCH SUBDIV,Interdisciplinary Research Units,S2033,3,205,30
11009,CENTER FOR NEUROSCIENCE,Center for Neuroscience,Colleges,Biological Sciences,BIOLOGICAL SCIENCES SUBDIV,,S2002,1,97,15
11018,GENOME CENTER SERVICE CORES,Genome Center Service Cores,Colleges,Biological Sciences,BIOLOGICAL SCIENCES SUBDIV,,S2002,1,17,0
11038,MOLECULAR & CELLULAR BIO,Molecular and Cellular Biology,Colleges,Biological Sciences,BIOLOGICAL SCIENCES SUBDIV,College of Biological Sciences,S2002,50,2869,303
11035,NEURO PHYSIO & BEHAVIOR,"Neurobiology, Physiology and Behavior",Colleges,Biological Sciences,BIOLOGICAL SCIENCES SUBDIV,College of Biological Sciences,S2002,45,2308,334
11016,MICROBIOLOGY & MOLEC GENETICS,Microbiology and Molecular Genetics,Colleges,Biological Sciences,BIOLOGICAL SCIENCES SUBDIV,College of Biological Sciences,S2002,34,1378,152
11092,EVOLUTION & ECOLOGY,Evolution and Ecology,Colleges,Biological Sciences,BIOLOGICAL SCIENCES SUBDIV,College of Biological Sciences,S2002,27,2276,198
11020,PLANT BIOLOGY,Plant Biology,Colleges,Biological Sciences,BIOLOGICAL SCIENCES SUBDIV,College of Biological Sciences,S2002,23,1282,206
24020,CIVIL & ENVIRONMENTAL ENGR,Civil and Environmental Engineering,Colleges,Engineering,ENGINEERING SUBDIV,College of Engineering,S2007,62,4958,767
24023,ENGR COMPUTER SCIENCE,Computer Science,Colleges,Engineering,ENGINEERING SUBDIV,College of Engineering,S2007,55,4207,390
24036,BIOMEDICAL ENGINEERING,Biomedical Engineering,Colleges,Engineering,ENGINEERING SUBDIV,College of Engineering,S2007,54,4076,470
24025,ELECT & COMP ENGR,Electrical and Computer Engineering,Colleges,Engineering,ENGINEERING SUBDIV,College of Engineering,S2007,38,4639,441
24040,MECHANICAL & AEROSPACE ENGR,Mechanical and Aerospace Engineering,Colleges,Engineering,ENGINEERING SUBDIV,College of Engineering,S2007,33,2872,445
24017,CHEMICAL ENGINEERING,Chemical Engineering,Colleges,Engineering,ENGINEERING SUBDIV,College of Engineering,S2007,24,2322,177
24018,MATERIALS SCIENCE&ENGINEERING,Materials Science and Engineering,Colleges,Engineering,ENGINEERING SUBDIV,College of Engineering,S2007,15,1061,85
24000,ENGINEERING DEANS OFFICE,Engineering Dean's Office,Colleges,Engineering,ENGINEERING SUBDIV,College of Engineering,S2007,9,795,94
